cost_id,cost_type,category,product_id,region,customer_tier,value,currency,unit,notes
COST001,PRODUCT_UNIT_COST,Vaccine,P1,ALL,ALL,145.50,USD,PER_UNIT,Average manufacturing cost per vaccine dose
COST002,PRODUCT_UNIT_COST,API,P2,ALL,ALL,892.00,USD,PER_KG,Active Pharmaceutical Ingredient cost
COST003,PRODUCT_UNIT_COST,Diagnostic,P3,ALL,ALL,67.25,USD,PER_KIT,Diagnostic test kit cost
COST004,PRODUCT_UNIT_COST,Biologic,P4,ALL,ALL,1850.00,USD,PER_VIAL,High-value biologic cost
COST005,PRODUCT_UNIT_COST,Generic,P5,ALL,ALL,12.80,USD,PER_UNIT,Generic drug cost
COST006,SLA_PENALTY,TIER1,ALL,APAC,TIER1,500.00,USD,PER_DAY,Daily penalty for TIER1 SLA breach
COST007,SLA_PENALTY,TIER1,ALL,North America,TIER1,750.00,USD,PER_DAY,Daily penalty for TIER1 SLA breach
COST008,SLA_PENALTY,TIER1,ALL,Europe,TIER1,650.00,USD,PER_DAY,Daily penalty for TIER1 SLA breach
COST009,SLA_PENALTY,TIER1,ALL,Latin America,TIER1,400.00,USD,PER_DAY,Daily penalty for TIER1 SLA breach
COST010,SLA_PENALTY,TIER1,ALL,Africa,TIER1,350.00,USD,PER_DAY,Daily penalty for TIER1 SLA breach
COST011,SLA_PENALTY,TIER2,ALL,APAC,TIER2,250.00,USD,PER_DAY,Daily penalty for TIER2 SLA breach
COST012,SLA_PENALTY,TIER2,ALL,North America,TIER2,350.00,USD,PER_DAY,Daily penalty for TIER2 SLA breach
COST013,SLA_PENALTY,TIER2,ALL,Europe,TIER2,300.00,USD,PER_DAY,Daily penalty for TIER2 SLA breach
COST014,SLA_PENALTY,TIER2,ALL,Latin America,TIER2,200.00,USD,PER_DAY,Daily penalty for TIER2 SLA breach
COST015,SLA_PENALTY,TIER2,ALL,Africa,TIER2,175.00,USD,PER_DAY,Daily penalty for TIER2 SLA breach
COST016,SLA_PENALTY,TIER3,ALL,APAC,TIER3,100.00,USD,PER_DAY,Daily penalty for TIER3 SLA breach
COST017,SLA_PENALTY,TIER3,ALL,North America,TIER3,150.00,USD,PER_DAY,Daily penalty for TIER3 SLA breach
