event_id,event_type,scope_type,scope_id,impact_value,impact_unit,start_date,end_date,severity,status,description
E001,SUPPLIER_DELAY,SUPPLIER,S1,5,DAYS,2024-01-15,2024-01-20,MEDIUM,ACTIVE,BioChemCo APAC experiencing customs clearance delays
E002,SUPPLIER_DELAY,SUPPLIER,S2,3,DAYS,2024-01-18,2024-01-21,LOW,ACTIVE,MedSupplyNA minor production delay
E003,SUPPLIER_DELAY,SUPPLIER,S3,7,DAYS,2024-01-20,2024-01-27,HIGH,ACTIVE,HealthPlusEU regulatory documentation delay
E004,SUPPLIER_DELAY,SUPPLIER,S4,4,DAYS,2024-01-22,2024-01-26,MEDIUM,RESOLVED,AgroEssentialsSA transportation delay
E005,SUPPLIER_DELAY,SUPPLIER,S5,6,DAYS,2024-01-25,2024-01-31,HIGH,ACTIVE,VaxGlobalAF raw material shortage
E006,SUPPLIER_DELAY,SUPPLIER,S1,2,DAYS,2024-02-01,2024-02-03,LOW,PLANNED,BioChemCo scheduled maintenance
E007,SUPPLIER_DELAY,SUPPLIER,S2,8,DAYS,2024-02-05,2024-02-13,HIGH,PLANNED,MedSupplyNA facility upgrade
E008,SUPPLIER_DELAY,SUPPLIER,S3,1,DAYS,2024-02-10,2024-02-11,LOW,RESOLVED,HealthPlusEU minor quality check
E009,SUPPLIER_DELAY,SUPPLIER,S4,5,DAYS,2024-02-15,2024-02-20,MEDIUM,PLANNED,AgroEssentialsSA weather disruption
E010,SUPPLIER_OUTAGE,SUPPLIER,S1,14,DAYS,2024-01-10,2024-01-24,CRITICAL,ACTIVE,BioChemCo APAC facility fire shutdown
E011,SUPPLIER_OUTAGE,SUPPLIER,S2,7,DAYS,2024-01-15,2024-01-22,HIGH,RESOLVED,MedSupplyNA power outage
E012,SUPPLIER_OUTAGE,SUPPLIER,S3,21,DAYS,2024-02-01,2024-02-22,CRITICAL,ACTIVE,HealthPlusEU strike action
E013,SUPPLIER_OUTAGE,SUPPLIER,S4,10,DAYS,2024-02-10,2024-02-20,HIGH,PLANNED,AgroEssentialsSA annual shutdown
E014,SUPPLIER_OUTAGE,SUPPLIER,S5,14,DAYS,2024-02-15,2024-03-01,CRITICAL,ACTIVE,VaxGlobalAF equipment failure
E015,SUPPLIER_OUTAGE,SUPPLIER,S1,3,DAYS,2024-03-01,2024-03-04,MEDIUM,RESOLVED,BioChemCo emergency maintenance
E016,SUPPLIER_OUTAGE,SUPPLIER,S2,28,DAYS,2024-03-10,2024-04-07,CRITICAL,PLANNED,MedSupplyNA major renovation
E017,SUPPLIER_OUTAGE,SUPPLIER,S3,5,DAYS,2024-03-15,2024-03-20,MEDIUM,RESOLVED,HealthPlusEU IT system failure
E020,REG_HOLD,REGION,Europe,4,DAYS,2024-01-12,2024-01-16,HIGH,ACTIVE,EU new GDP compliance checks
E021,REG_HOLD,REGION,North America,2,DAYS,2024-01-20,2024-01-22,MEDIUM,RESOLVED,FDA random inspection
E022,REG_HOLD,REGION,APAC,6,DAYS,2024-01-25,2024-01-31,HIGH,ACTIVE,APAC regulatory documentation review
E023,REG_HOLD,REGION,Latin America,5,DAYS,2024-02-01,2024-02-06,HIGH,ACTIVE,LATAM customs backlog
E024,REG_HOLD,REGION,Africa,3,DAYS,2024-02-05,2024-02-08,MEDIUM,RESOLVED,Africa port congestion
E025,REG_HOLD,REGION,Europe,7,DAYS,2024-02-10,2024-02-17,CRITICAL,ACTIVE,EU Brexit-related delays
E026,REG_HOLD,REGION,North America,1,DAYS,2024-02-15,2024-02-16,LOW,RESOLVED,US holiday processing delay
E027,REG_HOLD,REGION,APAC,8,DAYS,2024-02-20,2024-02-28,CRITICAL,ACTIVE,China New Year customs closure
